id_cliente,nombre,apellido,email,telefono,documento,fecha_registro
585.0,Mateo,Ruiz,tira@gmail.com,2341234,1435,
,Mateo,Pérez,mate@gmailo.com,2345665,1460,2026-01-15
273.0,dfc,Tirado,luca@gmail.com,1234567,2972,2026-01-15
385.0,Lucas,Diaz,,3224354,1009,2026-01-15
103.0,Alejandra,Diaz,,1234567,1839,2026-01-15
,Lorena,Toro,mate@gmailo.com,2345665,2412,2026-01-15
402.0,dfc,Diaz,mate@gmailo.com,3224354,852,2026-01-15
237.0,Mateo,Ruiz,ruiz@gmail.com,3214545,1387,2026-01-15
161.0,Lorena,Tirado,,2345665,1595,2026-01-15
706.0,Lorena,Diaz,,2341234,2993,2026-01-15
